Name,Duration,Genre,Rating
"Cabaret",85,Drama,3.4
"Calapor",110,Drama,4.5
"Calendar Girls",121,Drama,4.2
"Call",186,Action,6.8
"Cape Karma",80,Drama,4.2
"Captain Nagarjuna",124,Drama,6.5
"Captain Prabhakaran",160,Action,7
"Car Thief",160,Action,7
"Caravan",171,Action,6.8
"Cargo",109,Drama,5.7
"Cash",147,Action,3.4
"CC2C",164,Action,4.1
"Censor",155,Drama,3.5
"Chaahat",141,Drama,5.5
"Chaahat Ek Nasha...",130,Drama,3.9
"Chaalbaaz",165,Action,6.8
"Chaalbaaz",127,Action,5.8
"Chaand Kaa Tukdaa",165,Action,4
"Chaani",126,Drama,7.7
"Chaar Maharathi",147,Action,4.5
"Chaarfutiya Chhokare",109,Drama,5.9
"Chacha Bhatija",171,Action,5.8
"Chak De! India",143,Drama,8.2
"Chakra",150,Action,6.8
"Chakradhaar",130,Action,4.2
"Chakravyuh",162,Action,6.8
"Chal Chala Chal",148,Action,4.6
"Chalk N Duster",120,Drama,6.5
"Chalo Ishq Ladaaye",150,Action,4.4
"Chalta Purza",160,Action,6
"Chalte Chalte",157,Drama,6.6
"Chameli",98,Drama,7
"Chamku",115,Action,4
"Champion",150,Action,4.3
"Chand",139,Drama,6.8
"Chand Bujh Gaya",106,Drama,6.8
"Chanda Aur Bijli",127,Drama,4.8
"Chandan Ka Palna",156,Drama,6.7
"Chandni",176,Drama,6.8
"Chandra",197,Drama,6.9
"Chandrahas",146,Action,4.3
"Changez Khan",145,Action,7.1
"Chann Pardesee",137,Drama,8.1
"Char Paise",128,Action,5.6
"Charandas Chor",146,Drama,8
"Charas: A Joint Effort",150,Action,5.3
"Charitraheen",90,Drama,7.1
"Chase",113,Action,4.9
"Chauhar",113,Drama,6.8
"Chauraha",164,Action,3.9
"Chausar",75,Drama,6.4
"Chehre Pe Chehra",130,Drama,6.1
"Cheluvi",92,Drama,7.5
"Chemmeen",130,Drama,7.7
"Chettaniki Kallu Levu",151,Action,7.6
"Chhailla Babu",156,Action,6.8
"Chhappad Phaad Ke",80,Drama,6.3
"Chhatrapati Shivaji",160,Drama,8.3
"Chhaya",134,Drama,7.1
"Chhota Sa Ghar",131,Drama,3.7
"Chhoti Bahen",145,Drama,6.6
"Chhoti Bahu",127,Drama,6.1
"Chhoti Si Mulaqat",165,Drama,6.7
"Chhupa Rustam: A Musical Thriller",117,Drama,4.6
"Chicken Curry Law",117,Drama,5.3
"Chidiya",100,Drama,7.2
"Children of War",150,Drama,6.7
"China Gate",185,Action,6.6
"Chingaari",145,Drama,4.6
"Chinnodu",160,Action,4
"Chintu Ka Birthday",70,Drama,7.8
"Chipku",125,Drama,6.8
"Chippa",80,Drama,6.5
"Chitchor",95,Drama,7.5
"Chittagong",115,Action,7.3
"Choked",104,Drama,5.8
"Chor Aur Chand",147,Action,6.9
"Chor Machaaye Shor",155,Action,4.2
"Chor Machaye Shor",149,Action,6.5
"Chor Sipahee",148,Action,5.8
"Chori Chori",125,Action,5
"Chote Nawab",98,Drama,6.1
