Name,Duration,Genre,Rating
Sanam,162,Action,4.8
Sanam Bewafa,150,Drama,5.4
Sanam Re,110,Drama,3.2
Sangdil,140,Drama,7.3
Sangharsh,137,Action,6.8
Sangram,146,Drama,3.2
Sanjh Aur Savera,124,Drama,7
Sanjog,138,Drama,7
Santosh,136,Drama,6.7
Saranga,140,Action,4.5
Saraswatichandra,146,Drama,6.4
Sardari Begum,106,Drama,6.6
Sarkar,134,Action,7.6
Sarkar Raj,135,Action,6.7
Satte Pe Satta,170,Action,7.2
Satyam Shivam Sundaram: Love Sublime,162,Drama,7.1
Saugandh,163,Action,5.8
Sautela Bhai,134,Drama,6
Shaadi ke patasey,80,Drama,6.9
Shabnam Mausi,160,Action,6.2
Shabri,108,Action,5.6
Shaktiman,165,Action,2.6
Shandar,156,Action,5.2
Shankar Shambhu,147,Action,5.5
Sharada,118,Drama,6.6
Sharafat,110,Drama,7.1
Shastra,154,Action,4.6
Shatru,167,Action,6.9
Shikshaa,115,Drama,5.6
Shirdi Sai Baba,140,Drama,4.8
Shiva,170,Action,3.9
Sholay,172,Action,8.2
Shoorveer,137,Drama,5
Shriman Satyawadi,156,Action,7
Singh Is King,145,Action,5.7
Singham,153,Action,6.8
Skater Girl,97,Drama,6.6
Sneham Kosam,179,Action,6.5
Sohni Mahiwal,152,Action,6.1
Son of Sardaar,151,Action,4
Sone Pe Suhaaga,173,Action,4.8
Sookha,109,Drama,6.6
Soul of Sand,89,Drama,5.6
Spark,144,Action,5.9
Speed,112,Action,2.9
Strings of Passion,90,Drama,6.5
Student of the Year 2,156,Action,2.2
Sudhandhiram,155,Action,4
Suhaag,174,Action,6.7
Suhaag,155,Action,5.7
Sullan,148,Action,3.2
Sultaan,130,Action,5.6
Sun Zarra,115,Drama,5.4
Sunehre Din,133,Drama,6.6
Sunny,104,Drama,5.6
Suno Sasurjee,179,Action,2.5
Surakksha,142,Action,7.3
Surkhiyaan (The Headlines),144,Action,5.4
Swami,119,Drama,6.5
Swami,130,Drama,6.8
Swami Dada,161,Action,6.3
Switchh,140,Action,4.2
Taanashah,111,Action,7.3
Taj Mahal: An Eternal Love Story,154,Drama,5
Tajurba,150,Action,5.7
Takkar,147,Drama,5.4
Talaash: The Hunt Begins...,163,Action,4.7
Teesri Aankh: The Hidden Camera,121,Action,2.6
Teraa Surroor,116,Action,2.6
Tere Liye,128,Drama,5.3
Tere Mere Sapne,156,Action,6.2
Tevar,167,Action,4
Thanedaar,161,Action,5.6
The Announcement of War,159,Action,5.7
The Brawler,164,Action,8
The Burning Train,152,Action,6.8
The Film Love.Com... The Ultimate Killing Site,102,Action,3.4
The Gentleman,171,Action,5.2
The Great Indian Butterfly,100,Drama,6.2
The Grey,80,Drama,6.5
The Holy Fish,79,Drama,7.2
The Hundred Bucks,92,Drama,6.8
The Hungry,90,Drama,7.2
The Princess and the Hunter,174,Action,4.5
The Pushkar Lodge,105,Drama,8.6
The Silence,81,Drama,7.3
The Sky Is Pink,133,Drama,7.6
The Tree,89,Drama,5.7
The World of Fashion,110,Drama,6.8
THIRUMATHI PALANISAMY,130,Drama,4.4
Through the Eyelashes,125,Drama,7.1
Tikli and Laxmi Bomb,141,Drama,7.9
Toba Tek Singh,65,Drama,6.9
Trapped,95,Drama,7.6
Tridev,183,Action,6.3
Trishna,107,Drama,6
Triyacharitra,110,Drama,7.3
Tulsi: Mathrudevobhava,124,Drama,6
Tum: A Dangerous Obsession,140,Drama,2.4
Turning Point,152,Action,6.2
Udaan,138,Action,4.5
Umrao Jaan,178,Drama,5.5
Unmatta,116,Action,6.5
Unns: Love... Forever,135,Drama,3.3
Upkar,165,Drama,7.5
Utopia,75,Drama,5.6
Utthaan,170,Drama,4.1
Vaastav: The Reality,155,Action,8
Vachan,108,Drama,5.3
Vachan,111,Drama,6.8
Vallah Kya Baat Hai,145,Action,5.5
Vedi,142,Action,3.7
Veer,179,Action,4.5
Veera Madakari,185,Action,6.5
Vellore Maavattam,154,Action,6
Via Darjeeling,94,Drama,5.4
Vijay,182,Action,5.6
Vishnu-Devaa,162,Action,5.1
Vishwaroopam,158,Action,8.1
Vishwasghaat,138,Action,5.3
Wafaa,110,Drama,3.7
Wah Taj,115,Drama,5.4
Wajood,190,Action,6.9
Wanted: Dead or Alive,155,Action,6.5
Water,107,Drama,7.7
Wazir,113,Action,7.1
When Kiran Met Karen,91,Drama,4.9
Wishlist,83,Drama,4.8
Woman from the East,110,Drama,7.6
Ya Rab,130,Action,5.9
Yaarana,148,Action,7.1
Yeh Hai India,138,Action,5.2
Yeh Hai Mumbai Meri Jaan,158,Action,4.4
Yodha,152,Action,4.6
Yuvraaj,164,Action,4.8
Zakhmi Aurat,122,Drama,6.2
Zakhmo Ka Hisaab,141,Action,4.7
Zid,119,Drama,4.7
Zila Ghaziabad,152,Action,3.6
Zinda,126,Action,4.9
Zindagi Khoobsoorat Hai,116,Drama,5.5
Zulm Ki Zanjeer,135,Action,5.8
