Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Odi No
71,98,72,8,0,98.61,3,bowled,1,v England,Leeds,17/07/18,ODI # 4018
140,-,107,21,2,130.84,3,stumped,2,v West Indies,Guwahati,21/10/18,ODI # 4056
157,217,129,13,4,121.7,3,not out,1,v West Indies,Visakhapatnam,24/10/18,ODI # 4059
107,-,119,10,1,89.91,3,bowled,2,v West Indies,Pune,27/10/18,ODI # 4062
16,-,17,2,0,94.11,3,caught,1,v West Indies,Brabourne,29/10/18,ODI # 4063
33,57,29,6,0,113.79,3,not out,2,v West Indies,Thiruvananthapuram,01/11/18,ODI # 4064
3,10,8,0,0,37.5,3,caught,2,v Australia,Sydney,12/01/19,ODI # 4077
104,150,112,5,2,92.85,3,caught,2,v Australia,Adelaide,15/01/19,ODI # 4078
46,-,62,3,0,74.19,3,caught,2,v Australia,Melbourne,18/01/19,ODI # 4079
45,59,59,3,0,76.27,3,caught,2,v New Zealand,Napier,23/01/19,ODI # 4082
43,59,45,5,0,95.55,3,caught,1,v New Zealand,Mount Maunganui,26/01/19,ODI # 4085
60,94,74,6,1,81.08,3,caught,2,v New Zealand,Mount Maunganui,28/01/19,ODI # 4088
44,-,45,6,1,97.77,3,lbw,2,v Australia,Hyderabad (Deccan),02/03/19,ODI # 4102
116,-,120,10,0,96.66,3,caught,1,v Australia,Nagpur,05/03/19,ODI # 4106
123,-,95,16,1,129.47,3,bowled,2,v Australia,Ranchi,08/03/19,ODI # 4109
7,-,6,1,0,116.66,4,caught,1,v Australia,Mohali,10/03/19,ODI # 4111
20,-,22,2,0,90.9,3,caught,2,v Australia,Delhi,13/03/19,ODI # 4113
18,44,34,1,0,52.94,3,caught,2,v South Africa,Southampton,05/06/19,ODI # 4150
82,128,77,4,2,106.49,3,caught,1,v Australia,The Oval,09/06/19,ODI # 4155
77,105,65,7,0,118.46,3,caught,1,v Pakistan,Manchester,16/06/19,ODI # 4161
67,105,63,5,0,106.34,3,caught,1,v Afghanistan,Southampton,22/06/19,ODI # 4169
72,146,82,8,0,87.8,3,caught,1,v West Indies,Manchester,27/06/19,ODI # 4175
66,103,76,7,0,86.84,3,caught,2,v England,Birmingham,30/06/19,ODI # 4179
26,45,27,3,0,96.29,3,caught,1,v Bangladesh,Birmingham,02/07/19,ODI # 4182
34,61,41,3,0,82.92,3,not out,2,v Sri Lanka,Leeds,06/07/19,ODI # 4187
1,8,6,0,0,16.66,3,lbw,2,v New Zealand,Manchester,09/07/19,ODI # 4190
TDNB,-,-,-,-,-,-,-,-,v West Indies,Providence,08/08/19,ODI # 4196
120,179,125,14,1,96,3,caught,1,v West Indies,Port of Spain,11/08/19,ODI # 4197
114,127,99,14,0,115.15,3,not out,2,v West Indies,Port of Spain,14/08/19,ODI # 4199
4,-,4,1,0,100,3,bowled,1,v West Indies,Chennai,15/12/19,ODI # 4221
0,-,1,0,0,0,3,caught,1,v West Indies,Visakhapatnam,18/12/19,ODI # 4222
85,-,81,9,0,104.93,3,bowled,2,v West Indies,Cuttack,22/12/19,ODI # 4223
16,-,14,0,1,114.28,4,caught,1,v Australia,Wankhede,14/01/20,ODI # 4231
78,-,76,6,0,102.63,3,caught,1,v Australia,Rajkot,17/01/20,ODI # 4232
89,-,91,8,0,97.8,3,bowled,2,v Australia,Bengaluru,19/01/20,ODI # 4233
51,88,63,6,0,80.95,3,bowled,1,v New Zealand,Hamilton,05/02/20,ODI # 4235
15,31,25,1,0,60,3,bowled,2,v New Zealand,Auckland,08/02/20,ODI # 4239
9,20,12,0,1,75,3,caught,1,v New Zealand,Mount Maunganui,11/02/20,ODI # 4243
21,-,21,2,1,100,3,caught,2,v Australia,Sydney,27/11/20,ODI # 4265
89,-,87,7,2,102.29,3,caught,2,v Australia,Sydney,29/11/20,ODI # 4266
63,-,78,5,0,80.76,3,caught,1,v Australia,Canberra,02/12/20,ODI # 4267
56,65,60,6,0,93.33,3,caught,1,v England,Pune,23/03/21,ODI # 4281
66,110,79,3,1,83.54,3,caught,1,v England,Pune,26/03/21,ODI # 4283
7,14,10,1,0,70,3,bowled,1,v England,Pune,28/03/21,ODI # 4284
51,79,63,3,0,80.95,3,caught,2,v South Africa,Paarl,19/01/22,ODI # 4344
0,4,5,0,0,0,3,caught,1,v South Africa,Paarl,21/01/22,ODI # 4346
65,112,84,5,0,77.38,3,caught,2,v South Africa,Cape Town,23/01/22,ODI # 4349
8,6,4,2,0,200,3,caught,2,v West Indies,Ahmedabad,06/02/22,ODI # 4353
18,42,30,3,0,60,3,caught,1,v West Indies,Ahmedabad,09/02/22,ODI # 4355
0,2,2,0,0,0,3,caught,1,v West Indies,Ahmedabad,11/02/22,ODI # 4356
16,39,25,3,0,64,3,caught,2,v England,Lord's,14/07/22,ODI # 4428
17,27,22,3,0,77.27,3,caught,2,v England,Manchester,17/07/22,ODI # 4433
